TEAM_NAME,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors_eFG%,Offense Four Factors_TOV%,Offense Four Factors_ORB%,Offense Four Factors_FT/FGA,Defense Four Factors_eFG%,Defense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_FT/FGA,Is_Playoff,Season_Year,Target_Top4,Target_Top2,Target_Champ,Has_Top5_MVP,All_NBA_Count,Conference,Age_Diff,Age_Rank,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,W_Rank,MOV_Rank,SRS_Rank,ORtg_Rank,NRtg_Rank,TS%_Rank,Post_ORtg_Rank,Post_NRtg_Rank,Post_TS_PCT_Rank,Team_3PM_per100_Rank,Team_AST_per100_Rank,Opp_TOV_forced_Rank,Clutch_Win_PCT_Rank,Post_AllStar_Win_PCT_Rank,DRtg_Rank,Post_DRtg_Rank,Team_TOV_per100_Rank,Opp_FG_PCT_Rank,Opp_FG3_PCT_Rank
San Antonio Spurs,29.5,58.0,24.0,63,19,7.76,0.16,7.92,106.6,98.0,8.6,89.6,0.374,0.175,0.541,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,1,2000,0,0,0,1,1,West,0.7120000000000033,6.0,106.6,95.5,11.0,0.548,5.9,23.7,15.2,0.419,0.329,14.7,0.4,0.771,1.0,1.0,1.0,1.0,6.0,1.0,4.0,2.0,1.0,2.0,10.0,12.0,24.0,21.0,1.0,1.0,2.0,6.0,2.0,1.0
Sacramento Kings,27.1,55.0,27.0,57,25,5.82,0.25,6.07,105.6,99.6,6.0,94.4,0.298,0.194,0.529,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,1,2000,0,0,0,0,1,West,1.6879999999999953,15.0,103.3,98.7,4.6,0.536,6.0,23.1,15.2,0.432,0.355,16.7,0.587,0.667,1.0,4.0,2.0,2.0,9.0,2.0,9.0,10.0,4.0,8.0,9.0,15.0,8.0,8.0,5.0,7.0,8.0,6.0,7.0,16.0
Utah Jazz,32.0,53.0,29.0,55,27,4.7,0.31,5.0,107.6,102.4,5.2,89.8,0.363,0.135,0.546,0.497,15.1,30.2,0.273,0.473,15.6,73.2,0.301,1,2000,0,0,0,0,1,West,3.212000000000004,27.0,105.4,101.5,3.9,0.548,4.3,28.1,17.3,0.439,0.343,17.6,0.622,0.6,1.0,5.0,3.0,3.0,3.0,3.0,1.0,5.0,7.0,2.0,20.0,1.0,4.0,5.0,12.0,12.0,16.0,24.0,13.0,6.0
Philadelphia 76ers,28.2,56.0,26.0,54,28,4.28,-0.65,3.64,103.6,98.9,4.7,90.6,0.351,0.124,0.518,0.468,14.7,31.2,0.262,0.46,14.5,72.5,0.186,1,2000,0,0,0,1,1,East,0.5879999999999974,3.0,100.9,98.1,2.8,0.507,3.4,22.2,17.0,0.429,0.342,16.6,0.65,0.625,1.0,2.0,4.0,7.0,13.0,4.0,14.0,15.0,11.0,22.0,27.0,20.0,10.0,2.0,9.0,5.0,6.0,23.0,5.0,5.0
Portland Trail Blazers,30.1,50.0,32.0,53,29,4.2,0.33,4.52,106.5,101.8,4.7,89.1,0.296,0.165,0.539,0.497,14.8,30.0,0.225,0.47,14.3,72.4,0.223,1,2000,1,0,0,0,0,West,1.3120000000000047,13.0,104.9,101.2,3.7,0.539,4.9,26.3,16.8,0.438,0.368,16.3,0.523,0.469,1.0,9.0,6.0,5.0,7.0,4.0,5.0,6.0,9.0,7.0,15.0,3.0,12.0,13.0,17.0,8.0,14.0,21.0,11.0,25.0
Dallas Mavericks,26.6,53.0,29.0,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,1,2000,0,0,0,0,0,West,2.187999999999996,21.0,105.5,100.2,5.2,0.551,6.6,22.3,14.6,0.439,0.334,16.3,0.543,0.688,0.0,5.0,4.0,4.0,4.0,6.0,2.0,4.0,3.0,1.0,4.0,19.0,12.0,10.0,3.0,13.0,11.0,3.0,13.0,3.0
Milwaukee Bucks,28.2,52.0,30.0,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.276,0.218,0.542,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,1,2000,0,0,0,0,0,East,0.5879999999999974,3.0,107.2,101.3,5.9,0.546,7.3,23.8,14.5,0.439,0.352,16.5,0.612,0.657,1.0,7.0,7.0,8.0,1.0,7.0,3.0,1.0,2.0,4.0,2.0,11.0,11.0,6.0,6.0,20.0,15.0,2.0,13.0,12.0
Los Angeles Lakers,29.2,56.0,26.0,51,31,3.38,0.37,3.74,108.4,104.8,3.6,91.7,0.349,0.191,0.535,0.498,13.3,31.1,0.238,0.468,12.2,72.5,0.234,1,2000,1,1,1,1,2,West,0.4120000000000026,2.0,106.4,101.8,4.5,0.54,5.7,24.5,15.4,0.438,0.354,13.9,0.66,0.714,1.0,2.0,8.0,6.0,2.0,8.0,7.0,3.0,6.0,5.0,11.0,8.0,27.0,1.0,2.0,21.0,17.0,9.0,11.0,14.0
New York Knicks,29.8,48.0,34.0,50,32,2.63,-0.65,1.98,101.2,98.2,3.0,86.7,0.279,0.18,0.523,0.476,14.6,24.2,0.222,0.453,14.7,74.3,0.24,1,2000,1,0,0,0,0,East,1.012000000000004,9.0,99.1,97.0,2.1,0.526,5.4,20.9,16.3,0.417,0.352,16.7,0.575,0.543,1.0,11.0,9.0,11.0,19.0,9.0,10.0,20.0,12.0,11.0,13.0,25.0,8.0,9.0,14.0,3.0,3.0,15.0,1.0,12.0
Miami Heat,30.9,50.0,32.0,48,34,2.29,-0.57,1.73,101.1,98.5,2.6,87.1,0.299,0.221,0.515,0.469,13.7,24.3,0.227,0.46,15.3,72.7,0.214,1,2000,0,0,0,1,1,East,2.112000000000002,20.0,98.6,97.6,1.0,0.51,6.5,22.2,15.3,0.431,0.331,17.4,0.623,0.625,1.0,9.0,10.0,13.0,20.0,10.0,15.0,22.0,18.0,20.0,6.0,20.0,5.0,4.0,9.0,4.0,5.0,8.0,6.0,2.0
