TEAM_NAME,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Offense Four Factors_eFG%,Offense Four Factors_TOV%,Offense Four Factors_ORB%,Offense Four Factors_FT/FGA,Defense Four Factors_eFG%,Defense Four Factors_TOV%,Defense Four Factors_DRB%,Defense Four Factors_FT/FGA,Is_Playoff,Season_Year,Target_Top4,Target_Top2,Target_Champ,Has_Top5_MVP,All_NBA_Count,Conference,Age_Diff,Age_Rank,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Playoff_Ready_Players,Team_Total_VORP,Team_Avg_OBPM,Team_Avg_DBPM,Playoff_Core_VORP_Share,Core_Fatigue_MP,Bench_Tactical_BPM,Diff_PTS,Diff_eFG,Diff_REB,Diff_TOV,Elo_Score,Age_Diff_Rank,W_Rank,SRS_Rank,NRtg_Rank,ORtg_Rank,DRtg_Rank,MOV_Rank,TS%_Rank,Team_Total_VORP_Rank,Team_Avg_OBPM_Rank,Team_Avg_DBPM_Rank,Playoff_Core_VORP_Share_Rank,Bench_Tactical_BPM_Rank,Core_Fatigue_MP_Rank,Elo_Score_Rank,Diff_PTS_Rank,Diff_eFG_Rank,Diff_REB_Rank,Diff_TOV_Rank,Elite_Defense_Flag,Two_Way_Score,Two_Way_Rank,eFG_Diff,eFG_Diff_Rank,Superstar_Impact_Score,Superstar_Impact_Rank,Conf_Seed,Dynasty_Cluster,Is_Dynasty_Profile
Detroit Pistons,26.1,60.0,22.0,60,22,8.16,-0.63,7.53,117.9,109.7,8.2,99.3,0.292,0.345,0.583,0.546,13.0,30.9,0.223,0.517,14.8,74.2,0.251,1,2025,0,0,0,0,0,East,2.6879999999999953,15.0,116.0,107.0,9.0,0.591,11.0,27.7,15.1,0.443,0.345,16.8,0.643,0.69,1,13.0,12.0,-0.292,0.469,0.983,11228.0,0.033,1.902439024390248,0.0075926879215059,2.304878048780488,-0.1951219512195123,1682.4621951219513,15.0,3.0,3.0,3.0,10.0,2.0,3.0,13.0,13.0,14.0,10.0,19.0,8.0,24.0,3.0,13.0,13.0,4.0,14.0,1,12.0,5.0,0.029000000000000026,6.0,12.0,13.0,1.0,0,1
Boston Celtics,26.9,56.0,26.0,59,23,7.7,-0.33,7.37,120.8,112.7,8.1,94.8,0.207,0.467,0.583,0.553,11.2,29.2,0.167,0.523,11.4,75.7,0.189,1,2025,0,0,0,1,2,East,1.8879999999999981,10.0,117.1,108.7,8.4,0.591,16.2,25.7,12.9,0.442,0.358,13.0,0.485,0.75,1,12.0,20.4,0.675,0.717,0.887,11523.0,0.033,9.109756097560975,0.0384829659117065,1.6341463414634203,-0.9146341463414648,1665.4280487804879,10.0,4.0,4.0,4.0,2.0,4.0,4.0,13.0,2.0,2.0,7.0,25.0,8.0,25.0,4.0,3.0,3.0,8.0,8.0,1,6.0,1.0,0.030000000000000027,4.0,25.4,2.0,2.0,0,1
New York Knicks,28.1,53.0,29.0,56,26,6.33,-0.28,6.05,119.8,113.3,6.5,96.8,0.238,0.428,0.59,0.557,12.1,29.3,0.188,0.541,13.1,76.7,0.206,1,2025,1,1,0,0,1,East,0.6879999999999953,3.0,116.4,109.5,6.9,0.595,14.5,28.0,13.9,0.46,0.362,14.7,0.618,0.667,1,11.0,14.8,0.436,0.1,0.986,13457.0,-0.367,4.097560975609753,0.0074114396438921,0.8048780487804876,-1.2317073170731714,1634.6524390243903,3.0,6.0,5.0,5.0,3.0,7.0,5.0,8.0,8.0,3.0,14.0,18.0,11.0,30.0,5.0,8.0,14.0,13.0,7.0,1,10.0,4.0,0.016000000000000014,9.0,15.8,7.0,3.0,0,1
Cleveland Cavaliers,27.2,52.0,30.0,51,31,4.11,-0.34,3.78,119.2,115.1,4.1,99.9,0.265,0.442,0.595,0.561,12.2,26.9,0.206,0.543,13.1,74.4,0.209,1,2025,1,0,0,0,0,East,1.5879999999999974,8.0,118.3,113.8,4.5,0.605,14.2,28.0,13.8,0.464,0.372,14.9,0.571,0.667,1,13.0,19.3,0.792,0.485,0.907,10397.0,0.433,9.536585365853654,0.0496687265369053,1.853658536585371,-1.3048780487804876,1596.9439024390244,8.0,8.0,9.0,9.0,6.0,15.0,9.0,5.0,3.0,1.0,9.0,24.0,7.0,14.0,8.0,2.0,1.0,6.0,6.0,0,21.0,10.0,0.018000000000000016,7.0,19.3,3.0,4.0,0,1
Toronto Raptors,24.8,46.0,36.0,48,34,2.83,-0.08,2.75,115.9,113.0,2.9,98.4,0.265,0.363,0.581,0.546,12.2,25.5,0.204,0.54,14.3,74.0,0.222,1,2025,0,0,0,0,0,East,3.987999999999996,23.0,115.7,109.7,6.0,0.597,11.4,29.6,13.7,0.467,0.349,16.1,0.6,0.519,0,13.0,5.5,-0.538,-0.346,1.382,9015.0,-2.7,-4.292682926829272,-0.0162658296803701,0.1219512195121979,0.2317073170731713,1559.5426829268292,23.0,11.0,11.0,11.0,15.0,5.0,11.0,15.0,24.0,19.0,21.0,6.0,27.0,5.0,12.0,24.0,22.0,15.0,18.0,1,20.0,8.0,0.006000000000000005,15.0,5.5,24.0,5.0,0,1
Atlanta Hawks,25.2,46.0,36.0,47,35,2.41,-0.03,2.38,116.1,113.7,2.4,101.7,0.234,0.429,0.584,0.554,12.3,24.4,0.181,0.546,13.9,74.5,0.206,1,2025,0,0,0,0,0,East,3.5879999999999974,20.0,116.8,106.7,10.1,0.59,14.2,29.3,13.8,0.474,0.355,15.6,0.486,0.769,1,15.0,8.3,-0.3,-0.187,1.024,10501.0,-0.967,-1.1341463414634063,-0.0137539280144324,0.8414634146341484,-0.5121951219512191,1553.9926829268293,20.0,11.0,12.0,12.0,14.0,9.0,12.0,11.0,18.0,15.0,19.0,13.0,15.0,15.0,13.0,18.0,21.0,12.0,10.0,1,23.0,12.0,0.008000000000000007,13.0,8.3,20.0,5.0,0,1
Orlando Magic,24.7,45.0,37.0,43,39,0.63,0.17,0.81,114.9,114.3,0.6,100.0,0.311,0.386,0.576,0.531,12.4,25.0,0.249,0.545,13.1,75.6,0.223,1,2025,0,0,0,0,0,East,4.087999999999997,24.0,111.9,111.0,1.0,0.583,11.6,26.2,14.0,0.476,0.353,14.7,0.628,0.586,1,16.0,9.3,-1.269,1.012,1.0,9576.0,-1.2,-0.1219512195121979,-0.0277397167049472,-0.2804878048780495,-2.0,1526.7841463414636,24.0,13.0,17.0,17.0,19.0,11.0,17.0,18.0,16.0,27.0,2.0,17.0,17.0,8.0,16.0,17.0,25.0,19.0,3.0,1,30.0,17.0,-0.014000000000000012,22.0,9.3,17.0,7.0,0,1
Philadelphia 76ers,25.5,45.0,37.0,41,41,-0.18,-0.09,-0.27,115.4,115.5,-0.1,99.4,0.275,0.391,0.572,0.53,11.9,26.2,0.222,0.541,13.3,72.5,0.212,1,2025,0,0,0,0,0,East,3.2879999999999967,17.0,111.4,112.3,-0.9,0.568,12.2,24.3,13.4,0.467,0.353,15.2,0.561,0.536,0,19.0,3.0,-0.763,-0.989,1.733,8517.0,-1.767,-6.231707317073173,-0.0432233480462515,-5.731707317073173,-2.3658536585365866,1510.5841463414636,17.0,13.0,18.0,18.0,16.0,16.0,18.0,21.0,25.0,23.0,29.0,5.0,21.0,3.0,18.0,25.0,28.0,30.0,2.0,0,32.0,18.0,-0.01100000000000001,21.0,3.0,25.0,7.0,0,1
Charlotte Hornets,24.0,44.0,38.0,53,29,4.83,-0.35,4.48,119.4,114.4,5.0,96.8,0.244,0.487,0.589,0.552,13.5,30.5,0.2,0.54,11.6,76.6,0.186,0,2025,0,0,0,0,0,East,4.787999999999997,28.0,118.1,109.2,9.0,0.596,16.7,26.9,15.7,0.467,0.359,13.0,0.357,0.667,0,19.0,1.1,-1.763,-0.405,6.273,8034.0,-2.0,-9.109756097560975,-0.0443183093359517,-0.0487804878048763,2.2195121951219505,1578.1756097560976,28.0,16.0,8.0,8.0,5.0,12.0,8.0,9.0,27.0,30.0,22.0,2.0,23.0,1.0,9.0,27.0,29.0,16.0,28.0,0,17.0,7.0,0.01200000000000001,11.0,1.1,27.0,9.0,0,1
Miami Heat,26.2,43.0,39.0,47,35,2.33,0.02,2.35,116.7,114.5,2.2,103.4,0.268,0.406,0.58,0.542,11.6,25.4,0.212,0.54,12.8,74.9,0.193,0,2025,0,0,0,0,0,East,2.5879999999999974,13.0,118.6,115.5,3.1,0.6,13.1,27.7,13.1,0.465,0.359,14.4,0.515,0.538,0,15.0,9.3,-0.713,0.553,0.957,10661.0,0.7,0.560975609756099,0.0010252551924372,-1.2804878048780497,-0.2317073170731696,1542.5670731707316,13.0,17.0,13.0,13.0,13.0,13.0,13.0,16.0,16.0,22.0,8.0,21.0,4.0,18.0,14.0,15.0,16.0,21.0,13.0,0,26.0,13.0,0.0020000000000000018,16.0,9.3,17.0,10.0,0,1
Milwaukee Bucks,27.1,32.0,50.0,26,56,-6.21,0.09,-6.12,112.9,119.3,-6.4,97.6,0.223,0.457,0.589,0.565,13.9,21.1,0.163,0.558,11.7,74.1,0.215,0,2025,0,0,0,1,1,East,1.6879999999999953,9.0,108.5,120.7,-12.2,0.585,15.3,26.2,15.4,0.473,0.375,13.2,0.528,0.31,1,12.0,12.4,-0.058,0.092,1.081,10987.0,-2.0,2.475609756097569,0.0371064700064149,-1.9024390243902405,0.5121951219512209,1375.2731707317073,9.0,21.0,25.0,25.0,24.0,27.0,25.0,9.0,11.0,9.0,15.0,10.0,23.0,20.0,23.0,11.0,4.0,23.0,21.0,0,51.0,25.0,0.006999999999999895,14.0,16.4,6.0,11.0,-1,0
Chicago Bulls,25.3,31.0,51.0,29,53,-5.21,0.12,-5.09,113.0,118.1,-5.1,102.5,0.246,0.443,0.58,0.547,13.3,23.1,0.191,0.553,11.1,75.5,0.19,0,2025,0,0,0,0,0,East,3.487999999999996,19.0,107.3,115.0,-7.6,0.571,13.7,27.5,14.8,0.478,0.368,12.5,0.5,0.259,0,15.0,6.5,-0.647,-0.133,1.246,9932.0,-1.733,-1.5609756097560847,0.0140416435729332,-0.207317073170735,2.085365853658536,1387.0646341463416,19.0,22.0,22.0,22.0,23.0,22.0,22.0,16.0,23.0,20.0,18.0,7.0,20.0,12.0,21.0,20.0,11.0,18.0,27.0,0,45.0,21.0,-0.006000000000000005,19.0,6.5,23.0,12.0,0,1
Brooklyn Nets,23.5,20.0,62.0,18,64,-9.99,0.29,-9.7,108.7,119.0,-10.3,97.1,0.272,0.455,0.559,0.52,14.3,23.6,0.212,0.571,13.2,74.0,0.225,0,2025,0,0,0,0,0,East,5.287999999999997,29.0,102.4,117.2,-14.8,0.551,13.4,25.5,16.1,0.497,0.381,14.8,0.235,0.172,0,15.0,1.4,-1.687,-0.52,3.5,9179.0,-4.2,-7.109756097560975,-0.0405173520475927,-2.3902439024390247,0.1951219512195106,1277.6707317073171,29.0,28.0,29.0,29.0,30.0,26.0,28.0,30.0,26.0,28.0,24.0,4.0,30.0,6.0,29.0,26.0,27.0,26.0,16.0,0,56.0,29.0,-0.050999999999999934,30.0,1.4,26.0,13.0,0,1
Indiana Pacers,26.1,19.0,63.0,23,59,-7.99,0.35,-7.64,110.9,118.8,-7.9,101.0,0.252,0.422,0.568,0.533,12.8,21.7,0.196,0.556,11.7,74.1,0.218,0,2025,0,0,0,0,1,East,2.6879999999999953,15.0,110.9,118.9,-8.0,0.591,13.1,27.1,14.2,0.489,0.355,13.2,0.314,0.148,1,13.0,12.1,-0.069,0.085,1.008,11203.0,-1.133,2.231707317073159,0.0145195300045142,-3.207317073170735,-1.804878048780488,1304.9121951219513,15.0,29.0,26.0,26.0,29.0,23.0,26.0,24.0,12.0,10.0,16.0,16.0,16.0,23.0,27.0,12.0,10.0,28.0,4.0,0,52.0,27.0,-0.02300000000000002,24.0,13.1,12.0,14.0,0,1
Washington Wizards,23.5,17.0,65.0,16,66,-11.98,0.36,-11.62,111.0,122.7,-11.7,101.4,0.235,0.403,0.566,0.535,13.6,24.1,0.18,0.563,11.7,70.2,0.232,0,2025,0,0,0,0,0,East,5.287999999999997,29.0,108.6,122.2,-13.6,0.577,12.7,24.3,15.2,0.488,0.368,13.4,0.462,0.103,0,15.0,-3.5,-1.72,-0.94,-0.686,10023.0,-3.533,-12.4390243902439,-0.0362990764026429,-5.18292682926829,2.2317073170731696,1237.8951219512196,29.0,30.0,30.0,30.0,28.0,30.0,30.0,27.0,30.0,29.0,27.0,30.0,29.0,13.0,30.0,30.0,26.0,29.0,29.0,0,58.0,30.0,-0.027999999999999914,25.0,-3.5,30.0,15.0,-1,0
Oklahoma City Thunder,25.2,64.0,18.0,65,17,11.15,-0.11,11.04,118.9,107.7,11.2,99.3,0.261,0.426,0.599,0.561,11.2,22.3,0.213,0.519,14.6,74.4,0.184,1,2025,1,0,0,1,1,West,3.5879999999999974,20.0,115.3,104.6,10.7,0.592,13.7,25.5,12.4,0.437,0.369,16.5,0.706,0.846,1,14.0,24.3,0.407,1.529,0.835,10528.0,2.267,12.86585365853658,0.0451118156722554,-0.0853658536585371,-5.304878048780488,1749.7463414634146,20.0,1.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,4.0,1.0,29.0,2.0,16.0,1.0,1.0,2.0,17.0,1.0,1,8.0,3.0,0.04200000000000004,1.0,28.3,1.0,1.0,1,1
San Antonio Spurs,25.4,62.0,20.0,60,22,8.3,-0.03,8.28,119.6,111.3,8.3,99.9,0.274,0.422,0.595,0.559,11.8,26.2,0.215,0.522,11.5,77.3,0.18,1,2025,0,0,0,0,1,West,3.387999999999998,18.0,120.0,107.6,12.4,0.609,13.5,27.8,13.3,0.451,0.352,12.9,0.667,0.857,0,14.0,6.9,-0.357,-0.55,1.145,10599.0,-1.567,-2.7560975609756184,-0.0073072029458904,-2.5,0.2073170731707332,1701.029268292683,18.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,22.0,17.0,25.0,8.0,18.0,17.0,2.0,21.0,19.0,27.0,17.0,1,7.0,2.0,0.03700000000000003,2.0,7.9,21.0,2.0,0,1
Denver Nuggets,27.8,54.0,28.0,53,29,5.15,-0.17,4.97,122.6,117.4,5.2,98.4,0.294,0.408,0.616,0.577,11.5,23.6,0.237,0.543,10.4,75.3,0.196,1,2025,0,0,0,1,1,West,0.987999999999996,6.0,120.2,113.8,6.3,0.619,14.1,28.8,12.8,0.468,0.349,11.7,0.548,0.704,1,12.0,15.3,0.258,-0.333,1.059,12349.0,-1.567,3.8902439024390247,0.032344699744189,3.292682926829265,1.3048780487804876,1622.110975609756,6.0,5.0,6.0,7.0,1.0,21.0,7.0,1.0,6.0,6.0,20.0,12.0,18.0,29.0,6.0,9.0,5.0,3.0,25.0,0,22.0,11.0,0.03399999999999992,3.0,19.3,3.0,3.0,0,1
