Season_Year,TEAM_NAME,OPPONENT_NAME,H2H_Win_Rate,H2H_Point_Margin
2001,Atlanta Hawks,Boston Celtics,0.25,0.0
2001,Atlanta Hawks,Charlotte Hornets,0.0,-17.5
2001,Atlanta Hawks,Chicago Bulls,0.5,0.25
2001,Atlanta Hawks,Cleveland Cavaliers,0.5,-0.75
2001,Atlanta Hawks,Dallas Mavericks,0.0,-12.0
2001,Atlanta Hawks,Denver Nuggets,0.5,4.0
2001,Atlanta Hawks,Detroit Pistons,0.0,-14.0
2001,Atlanta Hawks,Golden State Warriors,1.0,9.0
2001,Atlanta Hawks,Houston Rockets,0.0,-9.5
2001,Atlanta Hawks,Indiana Pacers,0.5,0.25
2001,Atlanta Hawks,Los Angeles Clippers,0.5,5.5
2001,Atlanta Hawks,Los Angeles Lakers,0.5,-2.5
2001,Atlanta Hawks,Miami Heat,0.0,-7.666666666666667
2001,Atlanta Hawks,Milwaukee Bucks,0.25,-3.5
2001,Atlanta Hawks,Minnesota Timberwolves,0.0,-8.5
2001,Atlanta Hawks,New Jersey Nets,0.25,-3.25
2001,Atlanta Hawks,New York Knicks,0.5,-11.75
2001,Atlanta Hawks,Orlando Magic,0.25,-9.0
2001,Atlanta Hawks,Philadelphia 76ers,0.0,-10.666666666666666
2001,Atlanta Hawks,Phoenix Suns,0.0,-11.0
2001,Atlanta Hawks,Portland Trail Blazers,0.5,-3.5
2001,Atlanta Hawks,Sacramento Kings,0.5,-3.0
2001,Atlanta Hawks,San Antonio Spurs,0.0,-21.5
2001,Atlanta Hawks,Seattle SuperSonics,0.5,-1.0
2001,Atlanta Hawks,Toronto Raptors,0.5,-5.5
2001,Atlanta Hawks,Utah Jazz,0.0,-12.0
2001,Atlanta Hawks,Vancouver Grizzlies,0.5,0.0
2001,Atlanta Hawks,Washington Wizards,0.5,4.75
2001,Boston Celtics,Atlanta Hawks,0.75,0.0
2001,Boston Celtics,Charlotte Hornets,0.0,-9.25
2001,Boston Celtics,Chicago Bulls,0.6666666666666666,-4.0
2001,Boston Celtics,Cleveland Cavaliers,0.6666666666666666,11.333333333333334
2001,Boston Celtics,Dallas Mavericks,0.0,-7.5
2001,Boston Celtics,Denver Nuggets,1.0,3.0
2001,Boston Celtics,Detroit Pistons,0.75,8.5
2001,Boston Celtics,Golden State Warriors,0.0,-7.5
2001,Boston Celtics,Houston Rockets,0.5,-1.0
2001,Boston Celtics,Indiana Pacers,0.25,-4.25
2001,Boston Celtics,Los Angeles Clippers,1.0,6.0
2001,Boston Celtics,Los Angeles Lakers,0.0,-4.5
2001,Boston Celtics,Miami Heat,0.5,-3.5
2001,Boston Celtics,Milwaukee Bucks,0.25,-5.0
