TEAM_ID,TEAM_NAME,Post_ORtg,Post_DRtg,Post_NRtg,Post_TS_PCT,Team_3PM_per100,Team_AST_per100,Team_TOV_per100,Opp_FG_PCT,Opp_FG3_PCT,Opp_TOV_forced,Clutch_Win_PCT,Post_AllStar_Win_PCT,Prev_Year_Playoff_Round,Season_Year
1610612737,Atlanta Hawks,116.9,114.7,2.1,0.599,13.0,28.5,14.9,0.481,0.377,15.4,0.512,0.519,0,2024
1610612738,Boston Celtics,119.4,109.0,10.5,0.594,18.3,26.9,12.2,0.45,0.347,13.1,0.686,0.815,1,2024
1610612751,Brooklyn Nets,105.4,114.1,-8.8,0.544,14.0,25.9,15.6,0.48,0.362,15.4,0.447,0.214,0,2024
1610612766,Charlotte Hornets,101.7,118.4,-16.7,0.532,13.2,24.7,15.7,0.467,0.355,13.5,0.368,0.2,0,2024
1610612741,Chicago Bulls,115.3,110.0,5.4,0.595,14.8,27.9,14.1,0.467,0.344,12.1,0.5,0.63,0,2024
1610612739,Cleveland Cavaliers,117.1,109.5,7.6,0.591,15.8,27.9,13.1,0.454,0.359,14.4,0.684,0.714,1,2024
1610612742,Dallas Mavericks,108.7,117.1,-8.4,0.575,12.4,25.1,14.0,0.469,0.363,13.2,0.5,0.346,1,2024
1610612743,Denver Nuggets,115.8,116.0,-0.2,0.598,11.8,30.5,14.0,0.466,0.365,12.8,0.568,0.519,1,2024
1610612765,Detroit Pistons,115.3,109.8,5.6,0.592,12.7,26.2,14.7,0.461,0.366,14.9,0.477,0.556,0,2024
1610612744,Golden State Warriors,116.7,107.8,8.9,0.596,15.5,29.2,14.1,0.465,0.363,15.8,0.556,0.741,0,2024
1610612745,Houston Rockets,114.6,110.4,4.2,0.57,12.7,23.5,14.0,0.459,0.357,14.4,0.591,0.667,0,2024
1610612754,Indiana Pacers,115.8,109.5,6.3,0.599,13.0,28.7,13.0,0.474,0.355,14.7,0.632,0.69,1,2024
1610612746,LA Clippers,118.1,109.5,8.6,0.611,12.6,25.5,15.1,0.461,0.35,15.2,0.514,0.679,1,2024
1610612747,Los Angeles Lakers,113.9,111.1,2.9,0.594,13.5,26.4,14.2,0.463,0.356,13.9,0.59,0.6,1,2024
1610612763,Memphis Grizzlies,113.4,113.8,-0.4,0.577,13.4,27.4,15.1,0.456,0.36,14.6,0.514,0.429,0,2024
1610612748,Miami Heat,113.5,110.5,3.0,0.59,13.9,26.9,13.8,0.466,0.36,14.0,0.333,0.414,1,2024
1610612749,Milwaukee Bucks,116.3,111.3,5.0,0.614,14.1,25.4,13.3,0.457,0.353,12.8,0.585,0.655,1,2024
1610612750,Minnesota Timberwolves,118.2,110.4,7.8,0.604,15.2,26.5,14.6,0.46,0.353,14.9,0.435,0.692,1,2024
1610612740,New Orleans Pelicans,107.3,117.8,-10.5,0.552,12.0,25.8,14.6,0.483,0.365,14.0,0.412,0.296,1,2024
1610612752,New York Knicks,109.8,110.6,-0.8,0.565,12.7,27.9,13.4,0.474,0.367,14.7,0.613,0.536,1,2024
1610612760,Oklahoma City Thunder,120.8,108.9,12.0,0.612,14.4,26.6,11.6,0.436,0.342,16.8,0.667,0.857,1,2024
1610612753,Orlando Magic,110.5,107.2,3.3,0.566,11.6,23.8,14.7,0.468,0.365,16.7,0.514,0.538,1,2024
1610612755,Philadelphia 76ers,108.3,119.3,-10.9,0.555,12.9,23.5,13.8,0.488,0.378,16.2,0.417,0.143,1,2024
1610612756,Phoenix Suns,115.2,120.0,-4.8,0.602,14.5,28.0,14.2,0.473,0.37,12.3,0.525,0.357,1,2024
1610612757,Portland Trail Blazers,109.8,108.4,1.4,0.554,12.9,23.8,16.0,0.471,0.361,15.5,0.455,0.481,0,2024
1610612758,Sacramento Kings,115.3,116.1,-0.9,0.592,12.6,26.5,13.3,0.474,0.381,13.9,0.452,0.444,0,2024
1610612759,San Antonio Spurs,113.2,118.2,-5.0,0.581,14.1,28.5,13.8,0.474,0.365,13.6,0.459,0.367,0,2024
1610612761,Toronto Raptors,107.5,107.9,-0.4,0.539,11.7,28.2,15.2,0.466,0.349,14.9,0.313,0.481,0,2024
1610612762,Utah Jazz,105.4,119.6,-14.2,0.553,13.7,25.2,17.0,0.48,0.358,11.6,0.242,0.143,0,2024
1610612764,Washington Wizards,104.5,114.5,-10.0,0.547,12.8,24.6,15.2,0.471,0.364,13.1,0.448,0.321,0,2024
